"Hospital","cscflag","ISDN","site.name","date","n.stroke"
"Addenbrooke's Hospital",1,"East of England (North)","Cambridge University Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",858
"Barnet General Hospital",0,"London","Royal Free London NHS Foundation Trust","Apr 2022-Mar 2023",154
"Barnsley Hospital",0,"South Yorkshire and Bassetlaw","Barnsley Hospital NHS Foundation Trust","Apr 2022-Mar 2023",324
"Basildon University Hospital",0,"East of England (South)","Mid and South Essex NHS Foundation Trust","Apr 2022-Mar 2023",655
"Bedford Hospital",0,"East of England (South)","Bedfordshire Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",152
"Birmingham Heartlands Hospital",0,"West Midlands","University Hospitals Birmingham NHS Foundation Trust","Apr 2022-Mar 2023",601
"Blackpool Victoria Hospital",0,"Lancashire and South Cumbria","Blackpool Teaching Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",614
"Bradford and Airedale SU",0,"West Yorkshire and Harrogate","Bradford Teaching Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",780
"Broomfield Hospital",0,"East of England (South)","Mid and South Essex NHS Foundation Trust","Apr 2022-Mar 2023",719
"Calderdale Royal Hospital",0,"West Yorkshire and Harrogate","Calderdale and Huddersfield NHS Foundation Trust","Apr 2022-Mar 2023",830
"Charing Cross Hospital HASU",1,"London","Imperial College Healthcare NHS Trust","Apr 2022-Mar 2023",1313
"Charing Cross Hospital SU - Nine South Ward",0,"London","Imperial College Healthcare NHS Trust","Apr 2022-Mar 2023",289
"Chelsea and Westminster Hospital",0,"London","Chelsea and Westminster Hospital NHS Foundation Trust","Apr 2022-Mar 2023",145
"Chesterfield Royal",0,"East Midlands","Chesterfield Royal Hospital NHS Foundation Trust","Apr 2022-Mar 2023",649
"Colchester General Hospital",0,"East of England (North)","East Suffolk and North Essex NHS Foundation Trust","Apr 2022-Mar 2023",639
"Countess of Chester Hospital",0,"Cheshire and Mersey","Countess of Chester Hospital NHS Foundation Trust","Apr 2022-Mar 2023",428
"Croydon University Hospital",0,"London","Croydon Health Services NHS Trust","Apr 2022-Mar 2023",338
"Cumberland Infirmary",0,"North East and North Cumbria","North Cumbria Integrated Care NHS Foundation Trust","Apr 2022-Mar 2023",638
"Darent Valley Hospital",0,"Kent and Medway","Dartford and Gravesham NHS Trust","Apr 2022-Mar 2023",557
"Derriford Hospital",0,"SW Peninsula","University Hospitals Plymouth NHS Trust","Apr 2022-Mar 2023",806
"Diana Princess of Wales Hospital Grimsby",0,"Humber Coast and Vale","Northern Lincolnshire and Goole Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",104
"Doncaster Royal Infirmary",0,"South Yorkshire and Bassetlaw","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",730
"Dorset County Hospital",0,"Wessex","Dorset County Hospital NHS Foundation Trust","Apr 2022-Mar 2023",444
"East Surrey Hospital",0,"Frimley ICS and Surrey Heartlands","Surrey and Sussex Healthcare NHS Trust","Apr 2022-Mar 2023",746
"Eastbourne District General Hospital",0,"Sussex","East Sussex Healthcare NHS Trust","Apr 2022-Mar 2023",823
"Epsom Hospital",0,"Frimley ICS and Surrey Heartlands","Epsom and St Helier University Hospitals NHS Trust","Apr 2022-Mar 2023",362
"Fairfield General Hospital",0,"Greater Manchester","Northern Care Alliance NHS Foundation Trust","Apr 2022-Mar 2023",968
"Frimley Park Hospital",0,"Frimley ICS and Surrey Heartlands","Frimley Health NHS Foundation Trust","Apr 2022-Mar 2023",648
"Furness General Hospital",0,"Lancashire and South Cumbria","University Hospitals of Morecambe Bay NHS Foundation Trust","Apr 2022-Mar 2023",223
"Gloucestershire Royal Hospital",0,"West of England","Gloucestershire Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",982
"Good Hope General Hospital",0,"West Midlands","University Hospitals Birmingham NHS Foundation Trust","Apr 2022-Mar 2023",368
"Goole District Hospital",0,"Humber Coast and Vale","Northern Lincolnshire and Goole Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",31
"Great Western Hospital Swindon",0,"West of England","Great Western Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",600
"Harrogate District Hospital",0,"West Yorkshire and Harrogate","Harrogate and District NHS Foundation Trust","Apr 2022-Mar 2023",225
"Hereford County Hospital",0,"West Midlands","Wye Valley NHS Trust","Apr 2022-Mar 2023",564
"Hexham General Hospital",0,"North East and North Cumbria","Northumbria Healthcare NHS Foundation Trust","Apr 2022-Mar 2023",98
"Hillingdon Hospital",0,"London","Hillingdon Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",187
"Hinchingbrooke Hospital",0,"East of England (North)","North West Anglia NHS Foundation Trust","Apr 2022-Mar 2023",174
"Homerton University Hospital",0,"London","Homerton Healthcare NHS Foundation Trust","Apr 2022-Mar 2023",131
"Hull Royal Infirmary",1,"Humber Coast and Vale","Hull University Teaching Hospitals NHS Trust","Apr 2022-Mar 2023",1039
"Invicta Ward Kent and Canterbury Hospital",0,"Kent and Medway","East Kent Hospitals University NHS Foundation Trust","Apr 2022-Mar 2023",898
"Ipswich Hospital",0,"East of England (North)","East Suffolk and North Essex NHS Foundation Trust","Apr 2022-Mar 2023",529
"James Cook University Hospital",1,"North East and North Cumbria","South Tees Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",754
"James Paget Hospital",0,"East of England (North)","James Paget University Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",481
"Jersey Health & Community Services Acute Episode",0,"Islands","States of Jersey Health and Social Services","Apr 2022-Mar 2023",136
"John Radcliffe Hospital",1,"Thames Valley (BOB)","Oxford University Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",913
"Kent and Canterbury Hospital",0,"Kent and Medway","East Kent Hospitals University NHS Foundation Trust","Apr 2022-Mar 2023",311
"King's College Hospital HASU",1,"London","King's College Hospital NHS Foundation Trust","Apr 2022-Mar 2023",1045
"King's College Hospital SU",0,"London","King's College Hospital NHS Foundation Trust","Apr 2022-Mar 2023",154
"Kings Mill Hospital",0,"East Midlands","Sherwood Forest Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",723
"Kingston Hospital",0,"London","Kingston Hospital NHS Foundation Trust","Apr 2022-Mar 2023",249
"Leeds General Infirmary",1,"West Yorkshire and Harrogate","Leeds Teaching Hospitals NHS Trust","Apr 2022-Mar 2023",1382
"Leicester Royal Infirmary",0,"East Midlands","University Hospitals of Leicester NHS Trust","Apr 2022-Mar 2023",1173
"Leighton Hospital",0,"North Midlands","Mid Cheshire Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",545
"Lincoln County Hospital",0,"East Midlands","United Lincolnshire Hospitals NHS Trust","Apr 2022-Mar 2023",967
"Lister Hospital",0,"East of England (South)","East and North Hertfordshire NHS Trust","Apr 2022-Mar 2023",826
"Luton and Dunstable Hospital",0,"East of England (South)","Bedfordshire Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",729
"Maidstone District General Hospital",0,"Kent and Medway","Maidstone and Tunbridge Wells NHS Trust","Apr 2022-Mar 2023",1002
"Manchester Royal Infirmary",0,"Greater Manchester","Manchester University NHS Foundation Trust","Apr 2022-Mar 2023",193
"Milton Keynes General Hospital",0,"East of England (South)","Milton Keynes University Hospital NHS Foundation Trust","Apr 2022-Mar 2023",290
"Musgrove Park Hospital",0,"West of England","Somerset NHS Foundation Trust","Apr 2022-Mar 2023",734
"New Cross Hospital",0,"North Midlands","Royal Wolverhampton NHS Trust","Apr 2022-Mar 2023",1043
"Newham General Hospital",0,"London","Barts Health NHS Trust","Apr 2022-Mar 2023",147
"Noble's Hospital",0,"Islands","Manx Care","Apr 2022-Mar 2023",178
"Norfolk and Norwich University Hospital",0,"East of England (North)","Norfolk and Norwich University Hospitals NHS Foundation Trust","Apr 2022-Mar 2023",1017
"North Bristol Hospitals",0,"West of England","North Bristol NHS Trust","Apr 2022-Mar 2023",999
"North Devon District Hospital",0,"SW Peninsula","Royal Devon University Healthcare NHS Foundation Trust","Apr 2022-Mar 2023",393
"North Middlesex Hospital",0,"London","North Middlesex University Hospital NHS Trust","Apr 2022-Mar 2023",271
"North Tyneside General Hospital",0,"North East and North Cumbria","Northumbria Healthcare NHS Foundation Trust","Apr 2022-Mar 2023",225
"Northampton General Hospital",0,"East Midlands","Northampton General Hospital NHS Trust","Apr 2022-Mar 2023",896
"Northumbria Specialist Emergency Care Hospital HASU",1,"North East and North Cumbria","Northumbria Healthcare NHS Foundation Trust","Apr 2022-Mar 2023",1074
"Northwick Park Hospital HASU",1,"London","London North West University Healthcare NHS Trust","Apr 2022-Mar 2023",1429
"Northwick Park Hospital SU",0,"London","London North West University Healthcare NHS Trust","Apr 2022-Mar 2023",848
