"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"1","all","all","discount rate ","nice.org.uk/process/pmg36/resources/nice-health-technology-evaluations-the-manual-pdf-72286779244741",NA,"dr",0.035,"",NA,NA,"","y",0.015,0.05,NA,NA
"2","all","all","willingness-to-pay threshold of £ per QALY gained","nice.org.uk/process/pmg36/resources/nice-health-technology-evaluations-the-manual-pdf-72286779244741",NA,"wtp",20000,"",NA,NA,"","",NA,NA,NA,NA
"3","all","all","age at start of model","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","lower bound taken","age",75,"",NA,NA,"","",NA,NA,NA,NA
"4","all","all","% of strokes that are AIS","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","","p.ais",0.87,"",NA,NA,"","",NA,NA,NA,NA
"5","all","all","% LVO and NIHSS>6","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","0.3*0.8","p.plao.nihss",0.24,"",NA,NA,"","",NA,NA,NA,NA
"6","all","all","% of strokes that are early ","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","<=4.5 hours, 0.78*0.74","p.early",0.5772,"",NA,NA,"","",NA,NA,NA,NA
"7","all","all","% of stroke patients attending ASC","SSNAP 2023/2024. https://www.strokeaudit.org/ ","Apr2023Mar2024-AnnualResultsPortfolio xlsx download. Using 2022-23 data. Transpose of hospital stroke patients, combined with list of CSC key. Total number of strokes at ASC divded by total number of stroke across all hospitals=71061/97201 =0.7310727","p.asc",0.7310727,"",NA,NA,"","",NA,NA,NA,NA
"8","all","all","probability of getting NCCT","Assumption",NA,"p.ncct",1,"",NA,NA,"","",NA,NA,NA,NA
"9","early","all","% eligible for ivt","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. and SSNAP 2022/23 ","10,870/12,350 for McMeekin, for SSNAP - applied p.AIS and p.early to total number of stroke patients and then used number of eligible (e.g. 10099/(89614*0.87*0.5772)=22.4%) to calculate and averaged over time, then used 25% as an approximation","p.eivt",0.25,"",NA,NA,"McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. 10,870/12,350 for high + SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","y",0.212,0.88,NA,NA
"10","early;ASC","no intervention","% of those eligible that get ivt","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx","p.eivt2ivt",0.836175111992307,"uniform",0.805817589027216,0.866977599920284,"","",NA,NA,NA,NA
"11","early;CSC","no intervention","% of those eligible that get ivt","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken","p.eivt2ivt",0.904238502763125,"uniform",0.895193890763965,0.913002940431453,"","",NA,NA,NA,NA
