ISDN,site.name,Hospital,date,p_eivt2ivt,,p_eivt2ivt represents the percentage of eligible tpa patients that received ivt
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2019-Mar 2020,80,,
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2020-Mar 2021,86.1,,
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2021-Mar 2022,71.1,,
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2022-Mar 2023,61.5,,
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2023-Mar 2024,71.6,,
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2019-Mar 2020,93.2,,
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2020-Mar 2021,90.5,,
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2021-Mar 2022,92.8,,
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2022-Mar 2023,85.5,,
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2023-Mar 2024,88.2,,
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2019-Mar 2020,97.1,,
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2020-Mar 2021,97,,
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2021-Mar 2022,93.9,,
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2022-Mar 2023,97.7,,
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2023-Mar 2024,95.5,,
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2019-Mar 2020,93,,
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2020-Mar 2021,95.8,,
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2021-Mar 2022,98.6,,
