ISDN,site.name,Hospital,date,n.stroke
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2019-Mar 2020,1127
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2020-Mar 2021,1095
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2021-Mar 2022,1057
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2022-Mar 2023,1112
London,"Barking, Havering and Redbridge University Hospitals NHS Trust",Queens Hospital Romford HASU,Apr 2023-Mar 2024,1096
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2019-Mar 2020,1034
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2020-Mar 2021,974
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2021-Mar 2022,1116
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2022-Mar 2023,1278
London,Barts Health NHS Trust,Royal London Hospital HASU,Apr 2023-Mar 2024,1324
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2019-Mar 2020,1257
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2020-Mar 2021,1163
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2021-Mar 2022,1374
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2022-Mar 2023,1313
London,Imperial College Healthcare NHS Trust,Charing Cross Hospital HASU,Apr 2023-Mar 2024,1382
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2019-Mar 2020,902
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2020-Mar 2021,738
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2021-Mar 2022,922
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2022-Mar 2023,1045
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2023-Mar 2024,1107
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2019-Mar 2020,891
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2020-Mar 2021,913
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2021-Mar 2022,891
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2022-Mar 2023,885
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2023-Mar 2024,1047
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2019-Mar 2020,1413
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2020-Mar 2021,1283
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2021-Mar 2022,1420
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2022-Mar 2023,1429
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2023-Mar 2024,1435
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2019-Mar 2020,1052
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2020-Mar 2021,872
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2021-Mar 2022,1085
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2022-Mar 2023,1203
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2023-Mar 2024,1359
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2019-Mar 2020,1457
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2020-Mar 2021,1210
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2021-Mar 2022,1156
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2022-Mar 2023,1134
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2023-Mar 2024,1098
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2019-Mar 2020,937
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2020-Mar 2021,929
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2021-Mar 2022,974
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2022-Mar 2023,896
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2023-Mar 2024,981
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2019-Mar 2020,.
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2020-Mar 2021,985
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2021-Mar 2022,1288
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2022-Mar 2023,1603
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2023-Mar 2024,1479
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2019-Mar 2020,612
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2020-Mar 2021,677
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2021-Mar 2022,699
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2022-Mar 2023,723
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2023-Mar 2024,733
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2019-Mar 2020,622
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2020-Mar 2021,882
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2021-Mar 2022,987
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2022-Mar 2023,967
