"","WTP","group","pCE"
"1",0,"no.intervention",0.262
"2",1000,"no.intervention",0.225
"3",2000,"no.intervention",0.188
"4",3000,"no.intervention",0.155
"5",4000,"no.intervention",0.127
"6",5000,"no.intervention",0.108
"7",6000,"no.intervention",0.091
"8",7000,"no.intervention",0.075
"9",8000,"no.intervention",0.06
"10",9000,"no.intervention",0.048
"11",10000,"no.intervention",0.04
"12",11000,"no.intervention",0.035
"13",12000,"no.intervention",0.031
"14",13000,"no.intervention",0.024
"15",14000,"no.intervention",0.023
"16",15000,"no.intervention",0.02
"17",16000,"no.intervention",0.013
"18",17000,"no.intervention",0.01
"19",18000,"no.intervention",0.007
"20",19000,"no.intervention",0.006
"21",20000,"no.intervention",0.003
"22",21000,"no.intervention",0.003
"23",22000,"no.intervention",0.003
"24",23000,"no.intervention",0.002
"25",24000,"no.intervention",0.002
"26",25000,"no.intervention",0.001
"27",26000,"no.intervention",0.001
"28",27000,"no.intervention",0
"29",28000,"no.intervention",0
"30",29000,"no.intervention",0
"31",30000,"no.intervention",0
"32",31000,"no.intervention",0
"33",32000,"no.intervention",0
"34",33000,"no.intervention",0
"35",34000,"no.intervention",0
"36",35000,"no.intervention",0
"37",36000,"no.intervention",0
"38",37000,"no.intervention",0
"39",38000,"no.intervention",0
"40",39000,"no.intervention",0
"41",40000,"no.intervention",0
"42",41000,"no.intervention",0
"43",42000,"no.intervention",0
"44",43000,"no.intervention",0
"45",44000,"no.intervention",0
"46",45000,"no.intervention",0
"47",46000,"no.intervention",0
"48",47000,"no.intervention",0
"49",48000,"no.intervention",0
"50",49000,"no.intervention",0
"51",50000,"no.intervention",0
"52",0,"intervention",0.738
"53",1000,"intervention",0.775
"54",2000,"intervention",0.812
"55",3000,"intervention",0.845
"56",4000,"intervention",0.873
"57",5000,"intervention",0.892
"58",6000,"intervention",0.909
"59",7000,"intervention",0.925
"60",8000,"intervention",0.94
"61",9000,"intervention",0.952
"62",10000,"intervention",0.96
"63",11000,"intervention",0.965
"64",12000,"intervention",0.969
"65",13000,"intervention",0.976
"66",14000,"intervention",0.977
"67",15000,"intervention",0.98
"68",16000,"intervention",0.987
"69",17000,"intervention",0.99
"70",18000,"intervention",0.993
"71",19000,"intervention",0.994
"72",20000,"intervention",0.997
"73",21000,"intervention",0.997
"74",22000,"intervention",0.997
"75",23000,"intervention",0.998
"76",24000,"intervention",0.998
"77",25000,"intervention",0.999
"78",26000,"intervention",0.999
"79",27000,"intervention",1
"80",28000,"intervention",1
"81",29000,"intervention",1
"82",30000,"intervention",1
"83",31000,"intervention",1
"84",32000,"intervention",1
"85",33000,"intervention",1
"86",34000,"intervention",1
"87",35000,"intervention",1
"88",36000,"intervention",1
"89",37000,"intervention",1
"90",38000,"intervention",1
"91",39000,"intervention",1
"92",40000,"intervention",1
"93",41000,"intervention",1
"94",42000,"intervention",1
"95",43000,"intervention",1
"96",44000,"intervention",1
"97",45000,"intervention",1
"98",46000,"intervention",1
"99",47000,"intervention",1
"100",48000,"intervention",1
"101",49000,"intervention",1
"102",50000,"intervention",1
