"Parameter","low.value","high.value","midpoint"
"% eligible for IVT [0.21 , 0.88]",38702863.2891608,65262004.1586178,51982433.7238893
"discount rate  [0.01 , 0.05]",47529808.3616229,35612511.9781249,41571160.1698739
"% of patients who didn't get IVT who are eligible for MT [0.41 , 0.8]",33202961.5054987,41216796.7157561,37209879.1106274
"Cost per MT procedure and LVO [8373.43 , 11438.66]",42190168.1830614,38315540.1639562,40252854.1735088
"% of IVT patients that are eligible for MT [0.41 , 0.8]",38267224.3652498,40495070.850894,39381147.6080719
"Cost per B360S for ASC [15000 , 30000]",40342712.620058,38407712.620058,39375212.620058
"% of late stroke patients that are eligible for MT [0.41 , 0.8]",39522372.0693233,40933488.3513219,40227930.2103226
"Training costs associated with the intervention [0 , 8000]",40709592.620058,39477592.620058,40093592.620058
"Cost per B360S for CSC  [30000 , 60000]",40263712.620058,39513712.620058,39888712.620058
"Cost per LVO no MT [646.09 , 929.3]",40022656.9823123,40380657.2217101,40201657.1020112
