"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"1","all","all","discount rate ","nice.org.uk/process/pmg36/resources/nice-health-technology-evaluations-the-manual-pdf-72286779244741",NA,"dr",0.035,"",NA,NA,"","y",0.015,0.05,NA,NA
"2","all","all","age at start of model","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","lower bound taken","age",75,"",NA,NA,"","",NA,NA,NA,NA
"3","all","all","% of strokes that are AIS","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","","p.AIS",0.87,"",NA,NA,"","",NA,NA,NA,NA
"4","all","all","% LVO and NIHSS>6","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","0.3*0.8","p.plao.nihss",0.24,"",NA,NA,"","",NA,NA,NA,NA
"5","all","all","% of strokes that are early ","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","<=4.5 , 0.78*0.74","p.early",0.5772,"",NA,NA,"","",NA,NA,NA,NA
"6","all","all","% of stroke patients attending ASC","SSNAP 2023/2024. https://www.strokeaudit.org/ ","Apr2023Mar2024-AnnualResultsPortfolio xlsx download. Using 2022-23 data. Transpose of hospital stroke patients, combined with list of CSC key. Total number of strokes at ASC divded by total number of stroke across all hospitals=71061/97201 =0.7310727","p.asc",0.7310727,"",NA,NA,"","",NA,NA,NA,NA
"7","all","all","probability of getting NCCT","Assumption",NA,"p.ncct",1,"",NA,NA,"","",NA,NA,NA,NA
"8","early","all","% eligible for TPA","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. and SSNAP 2022/23 ","10,870/12,350 for McMeekin, for SSNAP - applied p.AIS and p.early to total number of stroke patients and then used number of eligible (e.g. 10099/(89614*0.87*0.5772)=22.4%) to calculate and averaged over time, then used 25% as an approximation","p.etpa",0.25,"",NA,NA,"McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. 10,870/12,350 for high + SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","y",0.212,0.88,NA,NA
"9","early;ASC","no intervention","% of those eligible that get TPA","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx","p.etpa2tpa",0.825561538461539,"uniform",0.804076335877863,0.868376923076923,"","",NA,NA,NA,NA
"10","early;CSC","no intervention","% of those eligible that get TPA","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken","p.etpa2tpa",0.904869565217391,"uniform",0.894739130434783,0.913416666666667,"","",NA,NA,NA,NA
"11","early;ASC","intervention","% of those eligible that get TPA","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken & OR from OR.TPA values","p.etpa2tpa",0.910113221643626,"based on OR sample",0.888102155828402,0.930325521855967,"","",NA,NA,NA,NA
"12","early;CSC","intervention","% of those eligible that get TPA","SSNAP 2023/2024. https://www.strokeaudit.org/  , SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges","Median value from 2019 - 2024 data from Apr2023Mar2024-AnnualResultsPortfolio.xlsx taken, mean value for CSCs","p.etpa2tpa",0.949372061023272,"based on OR sample",0.94131635446132,0.95609561200212,"","",NA,NA,NA,NA
"13","all","all","% of those that get a CTA","Assumption",NA,"p.cta",1,"",NA,NA,"","",NA,NA,NA,NA
"14","early","no intervention","% of TPA patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) , EARLY: 9420/12350. No distinction between those with TPA/noTPA made. ","p.tpa2emt",0.75,"beta",20,NA,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"15","early","no intervention","% of patients who didn't get TPA who are eligble for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) , EARLY: 9420/12350. No distinction between those with TPA/noTPA made","p.notpa2emt",0.75,"beta",20,NA,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"16","early;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.tpa.emt2mt",0.7,"beta",20,NA,"","",NA,NA,NA,NA
"17","early;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.notpa.emt2mt",0.1,"beta",20,NA,"","",NA,NA,NA,NA
"18","early;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.tpa.emt2mt",0.9,"beta",20,NA,"","",NA,NA,NA,NA
"19","early;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.notpa.emt2mt",0.2,"beta",20,NA,"","",NA,NA,NA,NA
