"",".id","intervention_costs","standard_costs","intervention_qol","standard_qol","inc.cost","inc.qol","NMB"
"1",1,-121256673.946608,-106724927.325504,11801.8629976823,9796.70784149187,-14531746.6211035,2005.15515619046,54634849.7449127
"2",2,-55731539.7724141,-47442809.2153738,7035.21525616723,6088.3083493059,-8288730.55704029,946.906906861333,27226868.694267
"3",3,-82186386.220156,-74417459.4876077,8733.92131841695,7581.91639749158,-7768926.73254834,1152.00492092537,30809025.1510557
"4",4,11225491.8305851,8413378.51359356,8301.44960015544,7198.25356160898,2812113.31699152,1103.19603854647,19251807.4539378
"5",5,-102453546.032694,-91558959.0959868,8910.79554270392,7956.29145194918,-10894586.9367067,954.504090754735,29984668.7518014
"6",6,-63336622.2934857,-38214757.1924197,8720.370786922,7290.33429746802,-25121865.101066,1430.03648945398,53722594.8901456
"7",7,6987402.41512833,10260165.0229521,9006.63631934731,7524.03322184832,-3272762.60782381,1482.60309749899,32924824.5578035
"8",8,63578979.6395231,54853790.7080697,10029.8730926287,7808.54273079605,8725188.93145339,2221.33036183265,35701418.3051996
"9",9,-156681265.977922,-129068539.637127,7348.38458153074,6274.58853195323,-27612726.3407948,1073.79604957751,49088647.332345
"10",10,83743229.0927933,68968633.9730182,9829.6628098608,7934.90785762983,14774595.1197751,1894.75495223097,23120503.9248443
"11",11,-15582018.4918909,-12853065.1934601,10411.2615416444,9162.36517012759,-2728953.29843072,1248.89637151682,27706880.7287671
"12",12,-7634839.49241779,-7998030.87878886,10412.3040450161,8647.01188152419,363191.38637107,1765.29216349186,34942651.8834662
"13",13,69654727.5303094,53776807.9444295,5552.38478091069,4643.3526946157,15877919.58588,909.032086294994,2302722.14001993
"14",14,-130387812.378323,-107617681.725454,8328.6277759176,7340.90920565678,-22770130.6528686,987.718570260814,42524502.0580849
"15",15,-49546998.8797675,-42919993.8779494,10985.6804873602,8837.80958077819,-6627005.00181814,2147.870906582,49584423.1334582
"16",16,-29201483.971869,-21647443.3445725,6107.1062850205,5143.51369118013,-7554040.62729654,963.592593840371,26825892.504104
"17",17,-56961521.7102302,-40538197.2024317,7541.73073129497,6006.40713522498,-16423324.5077985,1535.32359606999,47129796.4291983
"18",18,8504741.00884018,16428208.7272448,6938.34083132565,5827.15513138291,-7923467.71840457,1111.18569994274,30147181.7172594
"19",19,-122382986.714179,-93296990.0954156,8314.99931528942,6673.29429825969,-29085996.6187633,1641.70501702973,61920096.959358
"20",20,-103414324.876939,-87100606.3744338,7052.69552468037,5971.14243441367,-16313718.5025049,1081.55309026669,37944780.3078388
"21",21,-36311589.7132353,-28148683.9320035,10580.8336539802,8804.18354474842,-8162905.78123178,1776.65010923176,43695907.9658669
"22",22,-87852655.4438125,-71312386.4763674,11394.9322242634,9627.43112386061,-16540268.9674451,1767.50110040277,51890290.9755005
"23",23,79382818.2856312,66870839.6007779,9948.31803244506,8040.66538688097,12511978.6848533,1907.65264556409,25641074.2264284
"24",24,55565201.3537809,45040634.0467847,10348.9606958698,8619.5690697924,10524567.3069963,1729.39162607738,24063265.2145513
"25",25,-51773099.6548439,-42188642.5036007,6895.73359267883,5810.80246894143,-9584457.15124325,1084.9311237374,31283079.6259913
"26",26,-14225521.2846665,-16499855.1757993,7540.70570072601,6335.52828747257,2274333.89113279,1205.17741325345,21829214.3739361
"27",27,-112529881.380435,-94495856.8388079,7406.73694350914,6338.64886332334,-18034024.541627,1068.0880801858,39395786.1453431
"28",28,-244274430.969984,-177796818.875813,10126.8971376667,8139.47338786782,-66477612.0941714,1987.42374979884,106226087.090148
"29",29,-16861273.1875106,-17187879.3067248,9596.59520482754,7864.34314334287,326606.119214281,1732.25206148467,34318435.1104792
"30",30,-27957951.6729764,-21232779.6045472,9825.92055655573,8265.60891014681,-6725172.06842922,1560.31164640892,37931404.9966076
"31",31,-236860180.647711,-185230192.738028,10975.2490325723,9053.57622586832,-51629987.9096823,1921.67280670393,90063444.0437609
"32",32,-47051269.0644887,-35315344.3781751,6166.16644968192,5156.38969767944,-11735924.6863136,1009.77675200248,31931459.7263632
"33",33,-19999051.0102913,-15174597.5734027,11980.5166283075,9911.84523171742,-4824453.43688861,2068.6713965901,46197881.3686906
"34",34,40713443.8671615,38262309.7293532,9387.16104496676,7811.65711579754,2451134.13780823,1575.50392916922,29058944.4455762
"35",35,-58354696.9660743,-45865610.8943158,10020.4978326451,8132.04916462645,-12489086.0717585,1888.44866801864,50258059.4321314
"36",36,3583146.19654932,7548277.1345635,7652.00390428304,6487.52097848106,-3965130.93801418,1164.48292580197,27254789.4540536
"37",37,-84354852.041938,-65391294.6705051,9871.0034538543,8261.81320407971,-18963557.371433,1609.19024977459,51147362.3669248
"38",38,8579333.41602974,13081800.7481438,8492.84284576417,7453.04954942662,-4502467.33211403,1039.79329633756,25298333.2588651
"39",39,-85486712.7874407,-57893851.0772932,9736.04079938176,7797.45034210307,-27592861.7101475,1938.59045727869,66364670.8557213
"40",40,-138642251.615672,-107247544.684994,6668.73727283519,5643.0071766553,-31394706.9306775,1025.7300961799,51909308.8542754
"41",41,-48143985.6408342,-40920047.1012093,10939.2166261361,9277.10580668436,-7223938.53962488,1662.11081945172,40466154.9286592
"42",42,-30710213.4084806,-26564114.2158228,10619.0700197197,9199.63715237263,-4146099.1926578,1419.43286734704,32534756.5395987
"43",43,-42722916.2759744,-40953922.1958744,9715.18282381045,8033.64978162904,-1768994.08009999,1681.53304218141,35399654.9237283
"44",44,22124548.732116,20212844.9398181,8221.56215651163,6882.61630113885,1911703.79229793,1338.94585537278,24867213.3151577
"45",45,72601250.6056484,59388157.2554543,7434.48797421198,6392.27078007749,13213093.3501941,1042.21719413449,7631250.53249571
"46",46,-47973338.4630703,-43090671.7312523,7818.50642068412,6659.38018223471,-4882666.73181801,1159.12623844941,28065191.5008063
"47",47,639045.298785885,8150402.79952536,10813.457830513,8618.05711831365,-7511357.50073947,2195.40071219931,51419371.7447256
"48",48,-84768886.3403862,-70559207.4166111,8062.1027238873,6957.73837989366,-14209678.9237751,1104.36434399365,36296965.803648
"49",49,-99196092.6047005,-72856485.7779593,11591.0587837477,9276.19400703944,-26339606.8267412,2314.86477670825,72636902.3609063
"50",50,-7857099.77629336,-991047.901264308,8175.89241955474,7061.75554344636,-6866051.87502905,1114.13687610838,29148789.3971966
"51",51,45090960.0249868,34441824.0532657,8409.39884834307,6975.10257894827,10649135.9717211,1434.2962693948,18036789.4161749
"52",52,-69763104.569509,-56633992.3419732,11085.308849705,8934.3186101176,-13129112.2275358,2150.99023958742,56148917.0192842
"53",53,8287244.91648731,4204116.01776777,7889.15611954524,6855.94661954246,4083128.89871954,1033.20950000279,16581061.1013362
"54",54,-36577098.8688854,-31405825.2035413,9673.30554665234,8420.27233548738,-5171273.6653441,1253.03321116495,30231937.8886432
"55",55,-139996349.120423,-108450891.024821,10544.2412823827,9043.60337891896,-31545458.0956021,1500.63790346376,61558216.1648774
"56",56,-84356341.1142357,-60606875.5425907,8519.30868900716,7251.93696699243,-23749465.571645,1267.37172201473,49096900.0119396
"57",57,-50890250.6963737,-40175028.307212,10263.3888680895,8761.48581166596,-10715222.3891617,1501.90305642357,40753283.5176331
"58",58,-155540791.192052,-109215056.151258,8552.23320342326,6690.20751063095,-46325735.0407935,1862.02569279231,83566248.8966398
"59",59,-6184928.15831213,-4182058.50404426,11008.7183530494,9653.81657006827,-2002869.65426787,1354.90178298114,29100905.3138906
"60",60,-21110810.6697467,-23594018.1805819,9156.00794736028,7357.17179220364,2483207.51083517,1798.83615515664,33493515.5922976
"61",61,-34153556.5237311,-29488940.4102322,9097.67561717277,7692.74392516193,-4664616.11349897,1404.93169201084,32763249.9537159
"62",62,-31674079.5736881,-24564581.7573335,8675.98165208781,7267.58261579978,-7109497.81635458,1408.39903628803,35277478.5421152
"63",63,-93995532.0417866,-71943746.6707563,10520.7529408365,8481.68535228052,-22051785.3710303,2039.06758855602,62833137.1421508
"64",64,-2980163.02488545,-7893553.14488747,11761.3234425409,9481.02713218788,4913390.12000202,2280.29631035302,40692536.0870584
"65",65,-126747759.102406,-105154951.928882,7482.70030656701,6361.71072239805,-21592807.1735242,1120.98958416895,44012598.8569033
"66",66,5458591.21587769,6270983.67694476,9506.64718433964,8055.64871009602,-812392.461067066,1450.99847424362,29832361.9459394
"67",67,18332742.5440814,22022480.3813456,12859.845856397,10472.6462192079,-3689737.83726414,2387.1996371891,51433730.5810461
"68",68,4522521.88784963,3970775.60979312,10243.8729581365,8668.9554601382,551746.278056512,1574.91749799829,30946603.6819092
