"Scenario","Incremental Cost (£)","Incremental QALYs","Net Monetary Benefit (£)","ICER (£/QALY)"
"Base case","-3,972,251","1,721","38,393,165","Dominant"
"SC1: Start age 66","-18,097,310","2,429","66,667,862","Dominant"
"SC2: Long-term cost savings from IVT and MT removed","17,158,667","1,721","17,262,247","£9,970"
"SC3: SC2 plus mortality savings from IVT and MT only occur in year 1","17,158,667","1,687","16,581,315","£10,171"
"SC4: Additive MT and IVT benefits for those who have both","-1,706,571","1,967","41,039,117","Dominant"
"SC5: Alternative IVT mRS distribution","-9,473,317","1,619","41,855,212","Dominant"
"SC6: Gradual mortality risk attenuation (years 1-4)","-15,037,893","1,692","48,886,069","Dominant"
"SC7: Half-cycle correction applied","-5,564,104","1,782","41,211,603","Dominant"
"SC8: Dampened intervention effect","-3,224,371","1,550","34,220,739","Dominant"
"SC9: Per-AIS patient","-49","0.021","471","Dominant"
"PSA: Mean (95% CI)","-3,991,850 (-38,076,876 to 23,219,974)","1,592 (827 to 2,628)","35,835,199 (5,584,763 to 79,875,496)","Dominant"
