"Procedure","B360S N","Standard Care N","B360S Immediate (£)","Standard Care Immediate (£)","B360S Long-term (£)","Standard Care Long-term (£)","B360S Total (£)","Standard Care Total (£)","Incremental Immediate (£)","Incremental Long-term (£)","Incremental Total (£)"
"IVT","9,109","8,617","13,916,645","13,163,834","65,299,992","61,767,633","79,216,637","74,931,467","752,811","3,532,358","4,285,170"
"MT","2,655","1,645","24,209,554","15,002,746","-49,389,547","-30,606,877","-25,179,993","-15,604,130","9,206,808","-18,782,670","-9,575,862"
"IVT + MT","1,686","1,370","17,957,036","14,591,648","-31,377,731","-25,497,125","-13,420,695","-10,905,477","3,365,389","-5,880,606","-2,515,218"
"NCCT + CTA","60,406","60,406","9,423,348","9,423,348","0","0","9,423,348","9,423,348","0","0","0"
"NCCT + CTA + CTP","20,736","20,736","5,038,812","5,038,812","0","0","5,038,812","5,038,812","0","0","0"
"NCCT + CTA + CTP + MRI","423","423","176,890","176,890","0","0","176,890","176,890","0","0","0"
"ASC-CSC transfer (MT)","2,831","1,695","1,180,422","706,643","0","0","1,180,422","706,643","473,779","0","473,779"
"Subtotal (procedures)","","","71,902,708","58,103,920","-15,467,286","5,663,631","56,435,421","63,767,552","13,798,787","-21,130,918","-7,332,131"
"B360S software & training (one-off)","","","3,359,880","0","0","0","3,359,880","0","3,359,880","0","3,359,880"
"Grand total","","","75,262,588","58,103,920","-15,467,286","5,663,631","59,795,301","63,767,552","17,158,667","-21,130,918","-3,972,251"
